timestamp,domain,track_id,callsign_name,region,anomaly_score,risk_level,scatter_x,scatter_y
09:46:01,AIR,FLIGHT-744825,RJA723  ,Strait of Hormuz,32,Medium,1.0207,1.3297
09:46:00,SEA,564860000,HAFNIA RAVEN        ,Strait of Hormuz,22,Low,-0.3372,1.1160
09:46:00,AIR,FLIGHT-896441,ETD925  ,Strait of Hormuz,23,Low,-1.6988,0.0248
09:46:00,SEA,622123240,MECCA               ,Strait of Hormuz,19,Low,0.4110,-0.1035
09:46:00,AIR,FLIGHT-8013e4,IGO7245 ,Strait of Hormuz,23,Low,1.2980,-1.0175
09:45:59,SEA,538007334,TOPAZ RUZA,Strait of Hormuz,19,Low,1.2155,0.8863
09:45:59,AIR,FLIGHT-0a00c2,Unknown Aircraft,Strait of Hormuz,23,Low,0.0649,-0.0284
09:45:59,AIR,FLIGHT-89656b,FDB1583 ,Strait of Hormuz,23,Low,0.4739,-0.1440
09:45:59,AIR,FLIGHT-a603b0,GTI8139 ,Strait of Hormuz,23,Low,0.3680,-0.5949
09:45:58,AIR,FLIGHT-4d2011,SVA798  ,Strait of Hormuz,4,Low,0.0028,-0.1881
09:45:58,AIR,FLIGHT-8963de,UAE305  ,Strait of Hormuz,23,Low,0.9000,0.7987
09:45:58,AIR,FLIGHT-8015cd,AIC2030 ,Strait of Hormuz,23,Low,-0.7070,-0.0957
09:45:58,AIR,FLIGHT-8013b1,AIC5RW  ,Strait of Hormuz,23,Low,0.4463,-0.7354
09:45:58,AIR,FLIGHT-4bb0f3,THY175  ,Strait of Hormuz,24,Low,0.5735,0.2321
09:45:57,AIR,FLIGHT-70c150,OMS391  ,Strait of Hormuz,23,Low,-0.0309,0.1733
09:45:57,AIR,FLIGHT-8014f7,IGO212W ,Strait of Hormuz,8,Low,1.2013,1.0440
09:45:57,AIR,FLIGHT-801642,AXB78C  ,Strait of Hormuz,19,Low,0.4585,0.0488
09:45:56,AIR,FLIGHT-8014d0,AIC6KF  ,Strait of Hormuz,23,Low,-0.4683,0.1066
09:45:56,AIR,FLIGHT-800d10,IGO2165 ,Strait of Hormuz,23,Low,0.2699,0.0844
09:45:56,AIR,FLIGHT-06a139,QTR831  ,Strait of Hormuz,23,Low,0.1086,-0.3945
09:45:56,AIR,FLIGHT-70c0e1,OMA201  ,Strait of Hormuz,4,Low,-0.5279,-0.2597
09:45:55,SEA,636020984,GSL TINOS,Strait of Hormuz,26,Low,0.2838,0.8558
09:45:55,AIR,FLIGHT-800d10,IGO2165 ,Strait of Hormuz,23,Low,0.0934,-0.1264
09:45:55,AIR,FLIGHT-8966af,ABY390  ,Strait of Hormuz,19,Low,-0.2279,0.8751
09:45:55,AIR,FLIGHT-89405b,GFA541  ,Strait of Hormuz,31,Medium,1.5441,0.0852
09:45:54,SEA,631010084,BLUEBELL            ,Strait of Hormuz,19,Low,0.4824,-0.8718
09:45:54,SEA,229273000,Unknown Vessel,Strait of Hormuz,43,Medium,0.2168,1.2399
09:45:54,AIR,FLIGHT-75044b,MAS1    ,Strait of Hormuz,23,Low,-0.3163,-0.1665
09:45:54,AIR,FLIGHT-800d2c,IGO5004 ,Strait of Hormuz,23,Low,0.1245,-0.2239
09:45:53,AIR,FLIGHT-80141f,IGO642V ,Strait of Hormuz,19,Low,0.1293,0.6994
09:45:53,AIR,FLIGHT-06a137,QTR22Y  ,Strait of Hormuz,4,Low,-0.2462,0.0883
09:45:53,AIR,FLIGHT-8964d4,FDB23L  ,Strait of Hormuz,23,Low,0.3471,-0.0031
09:45:53,AIR,FLIGHT-801594,AXB1060 ,Strait of Hormuz,23,Low,0.6706,-1.0638
09:45:52,AIR,FLIGHT-801581,IGO6224 ,Strait of Hormuz,24,Low,-0.7165,0.2378
09:45:52,AIR,FLIGHT-800c8f,        ,Strait of Hormuz,19,Low,0.1049,0.5192
09:45:52,AIR,FLIGHT-71005d,SVA866  ,Strait of Hormuz,23,Low,1.0730,0.7928
09:45:52,SEA,229273000,Unknown Vessel,Strait of Hormuz,43,Medium,1.2910,-0.2251
