timestamp,domain,track_id,callsign_name,region,anomaly_score,risk_level,scatter_x,scatter_y
13:04:50,AIR,FLIGHT-896383,ABY513  ,Strait of Hormuz,23,Low,0.2846,0.0467
13:04:50,AIR,FLIGHT-8017a0,IGO47CP ,Strait of Hormuz,23,Low,-0.1039,-0.7966
13:04:49,AIR,FLIGHT-8016cb,AXB2923 ,Strait of Hormuz,23,Low,-0.0132,0.4873
13:04:49,AIR,FLIGHT-507cab,MFX3321 ,Strait of Hormuz,23,Low,0.0022,-0.7089
13:04:49,AIR,FLIGHT-010277,SVI4801 ,Strait of Hormuz,23,Low,0.4030,0.6350
13:04:48,AIR,FLIGHT-89671d,ABY519  ,Strait of Hormuz,19,Low,0.4611,0.6147
13:04:48,AIR,FLIGHT-800c4a,AIC3ZS  ,Strait of Hormuz,23,Low,1.2111,0.2864
13:04:48,AIR,FLIGHT-702097,UBG105  ,Strait of Hormuz,23,Low,-0.0184,0.3130
13:04:47,AIR,FLIGHT-8016df,IGO6243 ,Strait of Hormuz,23,Low,0.2402,0.7888
13:04:47,SEA,341116002,NAVIS,Strait of Hormuz,19,Low,-1.3208,-0.4146
13:04:47,AIR,FLIGHT-801733,IGO957  ,Strait of Hormuz,23,Low,-0.1434,-0.2846
13:04:46,AIR,FLIGHT-680001,DRK200  ,Strait of Hormuz,42,Medium,-0.8075,0.1368
13:04:46,AIR,FLIGHT-4cacf1,GTR1977 ,Strait of Hormuz,23,Low,1.5589,-0.3403
13:04:46,AIR,FLIGHT-800b80,SEJ122  ,Strait of Hormuz,23,Low,0.1384,0.3005
13:04:45,AIR,FLIGHT-406f78,BAW33   ,Strait of Hormuz,23,Low,0.1649,0.1548
13:04:45,AIR,FLIGHT-801616,IGO2455 ,Strait of Hormuz,23,Low,-0.7185,0.0060
13:04:45,AIR,FLIGHT-0101c8,NIA112  ,Strait of Hormuz,23,Low,-1.2220,-0.5979
13:04:45,AIR,FLIGHT-4bb102,THY066  ,Strait of Hormuz,23,Low,-0.3804,-0.8503
13:04:44,AIR,FLIGHT-801402,IGO6092 ,Strait of Hormuz,4,Low,-1.0299,0.0843
13:04:44,AIR,FLIGHT-801785,AKJ1131 ,Strait of Hormuz,23,Low,-0.6787,-1.0930
13:04:44,AIR,FLIGHT-8965ac,Unknown Aircraft,Strait of Hormuz,19,Low,-0.4428,0.4483
13:04:43,AIR,FLIGHT-80156f,VTHLV   ,Strait of Hormuz,29,Low,0.3101,-0.6319
13:04:43,AIR,FLIGHT-06a13a,QTR932  ,Strait of Hormuz,25,Low,0.2629,0.1168
13:04:43,AIR,FLIGHT-896743,ABY537  ,Strait of Hormuz,23,Low,0.2296,-0.6871
13:04:43,AIR,FLIGHT-80190f,IGO6535 ,Strait of Hormuz,23,Low,0.0221,-0.4595
13:04:42,AIR,FLIGHT-06a0fc,QTR1178 ,Strait of Hormuz,23,Low,0.3099,-0.9832
13:04:42,AIR,FLIGHT-896556,FDB2YF  ,Strait of Hormuz,29,Low,0.3775,0.7750
13:04:42,AIR,FLIGHT-06a0fc,QTR1178 ,Strait of Hormuz,23,Low,0.1042,-0.0750
13:04:41,AIR,FLIGHT-896643,FDB391  ,Strait of Hormuz,23,Low,-0.1820,-0.0110
13:04:41,AIR,FLIGHT-770454,ALK404  ,Strait of Hormuz,23,Low,-0.5922,-0.3723
13:04:41,AIR,FLIGHT-896633,ADY450  ,Strait of Hormuz,35,Medium,1.4434,0.4437
13:04:40,AIR,FLIGHT-4bb264,THY099  ,Strait of Hormuz,5,Low,0.2998,0.5560
13:04:40,AIR,FLIGHT-884f01,UBG217  ,Strait of Hormuz,23,Low,0.5561,0.6510
13:04:40,AIR,FLIGHT-781ed8,B72CV   ,Strait of Hormuz,23,Low,-0.4193,-0.3398
13:04:40,AIR,FLIGHT-7609e4,ABQ211  ,Strait of Hormuz,23,Low,0.4399,-0.3198
13:04:39,AIR,FLIGHT-89611c,UAE795  ,Strait of Hormuz,20,Low,0.0188,0.8630
13:04:39,SEA,372577000,A.S. RUBY RED,Strait of Hormuz,19,Low,0.7427,-0.3442
13:04:39,AIR,FLIGHT-744822,RJA408  ,Strait of Hormuz,23,Low,0.9518,0.2846
13:04:38,AIR,FLIGHT-7806f4,CYZ241  ,Strait of Hormuz,23,Low,-0.4807,0.7748
13:04:38,AIR,FLIGHT-8966a3,ABY101  ,Strait of Hormuz,39,Medium,-0.2349,-0.4824
13:04:38,AIR,FLIGHT-744826,RJA623M ,Strait of Hormuz,23,Low,0.4641,-0.4568
13:04:37,AIR,FLIGHT-05a093,Unknown Aircraft,Strait of Hormuz,23,Low,-0.3606,0.2169
13:04:37,AIR,FLIGHT-801546,AKJ2003 ,Strait of Hormuz,23,Low,-0.6274,-0.2824
13:04:36,AIR,FLIGHT-801454,IGO9206 ,Strait of Hormuz,23,Low,-0.2807,0.7873
13:04:36,AIR,FLIGHT-4bc892,PGT45TL ,Strait of Hormuz,6,Low,-0.6920,0.8886
13:04:35,AIR,FLIGHT-801907,IGO2365 ,Strait of Hormuz,31,Medium,1.6338,1.2199
13:04:35,AIR,FLIGHT-80165c,AXB2881 ,Strait of Hormuz,23,Low,0.8786,0.1403
13:04:34,AIR,FLIGHT-89617b,UAE9Y   ,Strait of Hormuz,23,Low,-0.7073,-0.4198
13:04:34,AIR,FLIGHT-770454,ALK404  ,Strait of Hormuz,23,Low,-0.3412,-0.2094
13:04:33,AIR,FLIGHT-3c4acd,DLH780  ,Strait of Hormuz,23,Low,-0.0378,-0.4563
13:04:33,AIR,FLIGHT-aae7a2,N801XA  ,Strait of Hormuz,23,Low,0.6711,-0.0511
13:04:32,AIR,FLIGHT-717c70,KNE334  ,Strait of Hormuz,23,Low,0.6396,1.2936
13:04:32,AIR,FLIGHT-4bc8e1,PGT407  ,Strait of Hormuz,23,Low,0.1078,0.0342
13:04:31,AIR,FLIGHT-01015e,MSR666  ,Strait of Hormuz,23,Low,-0.3156,0.4533
13:04:30,AIR,FLIGHT-8966aa,ETD435  ,Strait of Hormuz,23,Low,-0.7088,0.8452
13:04:30,SEA,613661401,OCEAN II,Strait of Hormuz,19,Low,0.0101,0.5408
13:04:30,AIR,FLIGHT-8018be,IGO017  ,Strait of Hormuz,28,Low,-0.5620,0.1432
13:04:29,SEA,273274660,FINVAL              ,Strait of Hormuz,33,Medium,-0.4999,-0.1082
13:04:29,AIR,FLIGHT-801848,AXB353  ,Strait of Hormuz,23,Low,0.1741,-0.0907
13:04:29,AIR,FLIGHT-711506,FAD662  ,Strait of Hormuz,23,Low,0.0339,-0.4775
13:04:28,AIR,FLIGHT-05a023,8QMAJ   ,Strait of Hormuz,22,Low,-0.3213,-0.1043
13:04:28,AIR,FLIGHT-89630a,UAE370  ,Strait of Hormuz,23,Low,0.3249,0.3015
13:04:28,SEA,667002321,FIESTA              ,Strait of Hormuz,19,Low,-0.7175,0.2223
13:04:27,AIR,FLIGHT-06a095,QTR674  ,Strait of Hormuz,23,Low,0.2009,-0.2292
13:04:27,AIR,FLIGHT-8965fa,ADY267  ,Strait of Hormuz,23,Low,0.4999,0.3508
13:04:27,AIR,FLIGHT-801810,AKJ1129 ,Strait of Hormuz,8,Low,0.0379,0.3897
13:04:26,AIR,FLIGHT-010297,NMA175  ,Strait of Hormuz,23,Low,0.6472,0.2250
13:04:26,AIR,FLIGHT-801816,IGO451M ,Strait of Hormuz,23,Low,-0.4906,1.1696
13:04:25,AIR,FLIGHT-8013f6,IGO763H ,Strait of Hormuz,23,Low,0.0997,0.1333
13:04:25,AIR,FLIGHT-06a087,QTR1175 ,Strait of Hormuz,19,Low,0.2954,0.9229
13:04:24,AIR,FLIGHT-800c09,LLR604  ,Strait of Hormuz,23,Low,0.0376,0.6161
13:04:24,AIR,FLIGHT-801799,AXB2024 ,Strait of Hormuz,30,Medium,-0.4074,0.5466
13:04:24,SEA,564860000,HAFNIA RAVEN        ,Strait of Hormuz,22,Low,0.1969,0.1557
13:04:24,AIR,FLIGHT-406f7c,BAW61   ,Strait of Hormuz,23,Low,0.3349,0.2405
13:04:23,SEA,311000651,ALORA               ,Strait of Hormuz,19,Low,-0.1361,-0.3898
13:04:23,AIR,FLIGHT-89640b,FVS222  ,Strait of Hormuz,23,Low,0.7623,-0.9560
13:04:23,AIR,FLIGHT-800d2d,Unknown Aircraft,Strait of Hormuz,19,Low,-0.4598,-0.1132
13:04:22,AIR,FLIGHT-074045,SEY019  ,Strait of Hormuz,23,Low,-0.2066,0.1357
13:04:22,AIR,FLIGHT-7823da,JDL2747 ,Strait of Hormuz,23,Low,0.4023,-0.5496
13:04:21,AIR,FLIGHT-3c61f3,VJH784  ,Strait of Hormuz,32,Medium,0.3596,0.3209
13:04:21,AIR,FLIGHT-8965c1,FDB1115 ,Strait of Hormuz,26,Low,0.0668,0.1840
13:04:21,AIR,FLIGHT-80087e,FOLOWME7,Strait of Hormuz,5,Low,0.2909,-0.2694
13:04:20,AIR,FLIGHT-80172e,IGO936J ,Strait of Hormuz,19,Low,-0.1058,0.2054
